"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.982533334E-2,-3.880624771E0,2.442499542E1,-4.015768433E1,4.716226522E1
2.986133334E-2,-3.738092422E0,2.447901917E1,-4.003686523E1,4.707596300E1
3.989833334E-2,-3.658601761E0,2.443126678E1,-3.985313416E1,4.688863898E1
4.993433334E-2,-3.506404877E0,2.441202545E1,-3.988223267E1,4.689173002E1
5.997033334E-2,-3.594125748E0,2.423585510E1,-3.974647522E1,4.669129153E1
7.000733334E-2,-3.900056839E0,2.408552551E1,-3.973361206E1,4.662706199E1
8.004333334E-2,-4.024175644E0,2.405416870E1,-3.956463623E1,4.647749414E1
9.008033334E-2,-3.940847397E0,2.409284210E1,-3.973904419E1,4.663889956E1
1.001163333E-1,-4.283254623E0,2.391494751E1,-3.948478699E1,4.636075267E1
1.101543333E-1,-4.122735977E0,2.392345428E1,-3.976870728E1,4.659268929E1
1.201903333E-1,-4.047307968E0,2.412566376E1,-4.011802673E1,4.698813066E1
1.302263333E-1,-4.163991928E0,2.398801422E1,-3.978877258E1,4.664665131E1
1.402633333E-1,-4.133897781E0,2.403301239E1,-4.013745117E1,4.696477171E1
1.502993333E-1,-4.135431290E0,2.379271698E1,-3.990988159E1,4.664754894E1
1.603353333E-1,-4.138204575E0,2.362204742E1,-4.009428406E1,4.671913394E1
1.703723333E-1,-4.065507889E0,2.391127014E1,-4.007441711E1,4.684267393E1
1.804083333E-1,-4.246786118E0,2.369556427E1,-4.012873840E1,4.679562591E1
1.904453333E-1,-4.301389694E0,2.378126526E1,-4.010574341E1,4.682436529E1
2.004813333E-1,-3.990716934E0,2.417079926E1,-3.993945312E1,4.685417030E1
2.105168333E-1,-3.809400558E0,2.405278778E1,-3.992581177E1,4.676663958E1
2.205538333E-1,-4.078577042E0,2.388900757E1,-4.007081604E1,4.682936868E1
2.305898333E-1,-3.908529282E0,2.382412720E1,-4.012014771E1,4.682405247E1
2.406268333E-1,-3.821577072E0,2.389189148E1,-4.032582092E1,4.702763829E1
2.506628333E-1,-3.706617355E0,2.375868988E1,-3.995735168E1,4.663479721E1
2.606988333E-1,-3.951395035E0,2.373203278E1,-4.006884766E1,4.673687468E1
2.707358333E-1,-3.942903519E0,2.354854584E1,-4.029907227E1,4.684117553E1
2.807718333E-1,-3.998033524E0,2.354058075E1,-3.991894531E1,4.651521696E1
2.908088333E-1,-3.949167252E0,2.355718231E1,-3.973782349E1,4.636411733E1
3.008448333E-1,-3.582401276E0,2.360254669E1,-4.004896545E1,4.662438679E1
3.108808333E-1,-3.951345444E0,2.335416412E1,-4.011671448E1,4.658734692E1
3.209178333E-1,-3.971258163E0,2.357229614E1,-4.001147461E1,4.660839128E1
3.309538333E-1,-4.016836166E0,2.371885681E1,-4.027340698E1,4.691126145E1
3.409898333E-1,-4.245637894E0,2.394427490E1,-4.011434937E1,4.690964471E1
3.510268333E-1,-4.166120529E0,2.402339172E1,-4.044804382E1,4.722842533E1
3.610628333E-1,-4.178102493E0,2.403789520E1,-4.012815857E1,4.696324154E1
3.710998333E-1,-4.246442795E0,2.388509369E1,-4.012878418E1,4.689188946E1
3.811358333E-1,-4.202024460E0,2.400743866E1,-3.997741699E1,4.682102081E1
3.911718333E-1,-4.234037399E0,2.419391632E1,-4.009921265E1,4.702360593E1
4.012088333E-1,-4.242155075E0,2.408072662E1,-3.976023865E1,4.667712343E1
4.112448333E-1,-3.927160263E0,2.420986176E1,-3.981069946E1,4.675929625E1
4.212818333E-1,-4.104276657E0,2.396157837E1,-3.981083679E1,4.664659742E1
4.313178333E-1,-4.083162308E0,2.412017059E1,-3.995277405E1,4.684740119E1
4.413538333E-1,-4.039918900E0,2.398659515E1,-4.004838562E1,4.685670584E1
4.513908333E-1,-3.982145309E0,2.401671600E1,-4.003916931E1,4.685931293E1
4.614268333E-1,-3.869935989E0,2.398889923E1,-3.972821045E1,4.657010196E1
4.714638333E-1,-3.869100571E0,2.404437256E1,-3.974258423E1,4.661088706E1
4.814998333E-1,-4.014940262E0,2.414240265E1,-3.998991394E1,4.688463040E1
4.915358333E-1,-3.906690598E0,2.391827393E1,-4.006329346E1,4.682321584E1
5.015728333E-1,-4.157571793E0,2.390474701E1,-3.977359009E1,4.659035095E1
5.116088333E-1,-3.956041336E0,2.405906677E1,-3.986259460E1,4.672810081E1
5.216448333E-1,-3.803953171E0,2.392803955E1,-3.958776855E1,4.641349540E1
5.316818333E-1,-3.785818100E0,2.377104950E1,-3.957934570E1,4.632407386E1
5.417178333E-1,-3.522724152E0,2.387816620E1,-3.976518250E1,4.651715969E1
5.517548333E-1,-3.961137772E0,2.385475159E1,-4.009184265E1,4.681982094E1
5.617908333E-1,-4.157018661E0,2.412789917E1,-3.987234497E1,4.678931733E1
5.718268333E-1,-3.723253250E0,2.412493896E1,-3.999276733E1,4.685399379E1
5.818638333E-1,-3.779050827E0,2.392424011E1,-3.969377136E1,4.649995672E1
5.918998333E-1,-3.948801041E0,2.392969513E1,-3.969874573E1,4.652111081E1
6.019368333E-1,-4.037538528E0,2.390810394E1,-4.005799866E1,4.682459191E1
6.119728333E-1,-4.097177505E0,2.393839264E1,-3.979974365E1,4.662459759E1
6.220088333E-1,-3.961481094E0,2.397908020E1,-3.990162659E1,4.672076010E1
6.320458333E-1,-3.837453842E0,2.375999451E1,-4.011035156E1,4.677717064E1
6.420818333E-1,-3.549503326E0,2.373940277E1,-4.019432068E1,4.681604033E1
6.521188333E-1,-3.631345749E0,2.368167877E1,-4.032279968E1,4.690348341E1
6.621548333E-1,-3.586544037E0,2.360576630E1,-4.051432800E1,4.702665493E1
6.721908333E-1,-3.574928284E0,2.364157867E1,-4.023947144E1,4.680725815E1
6.822278333E-1,-3.625711441E0,2.359383392E1,-4.033424377E1,4.686860360E1
6.922638333E-1,-3.501214981E0,2.351162720E1,-4.032460022E1,4.680949159E1
7.023008333E-1,-3.591119766E0,2.330980682E1,-4.031756592E1,4.670919992E1
7.123368333E-1,-3.596044540E0,2.341142273E1,-4.049729919E1,4.691542915E1
7.223728333E-1,-3.847692490E0,2.349378967E1,-4.026361084E1,4.677522045E1
7.324098333E-1,-3.888586044E0,2.349050140E1,-4.033825684E1,4.684121820E1
7.424458333E-1,-4.017583847E0,2.344222260E1,-4.038305664E1,4.686651303E1
7.524818333E-1,-3.957220078E0,2.340456390E1,-4.045643616E1,4.690582511E1
7.625188333E-1,-3.848760605E0,2.347855377E1,-4.020857239E1,4.672028188E1
7.725548333E-1,-3.666421890E0,2.332913208E1,-4.020231628E1,4.662528593E1
7.825918333E-1,-3.617486954E0,2.339064789E1,-4.026469421E1,4.670604052E1
7.926278333E-1,-3.554895401E0,2.364460754E1,-4.016688538E1,4.674487595E1
8.026638333E-1,-3.839803696E0,2.357998657E1,-4.028166199E1,4.683345120E1
8.127008333E-1,-3.909624100E0,2.367453766E1,-4.010189819E1,4.673254896E1
8.227368333E-1,-3.923830032E0,2.331712341E1,-4.029515076E1,4.672027248E1
8.327738333E-1,-3.914087296E0,2.328485870E1,-4.026913452E1,4.668091601E1
8.428098333E-1,-4.017995834E0,2.337287140E1,-4.055873108E1,4.698346597E1
8.528458333E-1,-3.912561417E0,2.331331635E1,-4.034062195E1,4.675665338E1
8.628828333E-1,-3.804132462E0,2.336529541E1,-4.046478271E1,4.688077531E1
8.729188333E-1,-3.913541794E0,2.356632996E1,-4.025053406E1,4.680590998E1
8.829558333E-1,-3.787088394E0,2.325534821E1,-4.039587402E1,4.676515687E1
8.929918333E-1,-4.013639450E0,2.343830872E1,-4.032008362E1,4.680996432E1
