"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.015208335E-3,-6.104164124E-1,1.171353912E1,-5.096131897E1,5.229374378E1
1.705020833E-2,-6.432609558E-1,1.154863739E1,-5.131910706E1,5.260642127E1
2.708620833E-2,-6.345214844E-1,1.152886963E1,-5.137252808E1,5.265409854E1
3.712120833E-2,-6.410198212E-1,1.133927155E1,-5.143057251E1,5.266966655E1
4.715720833E-2,-7.449111938E-1,1.158471680E1,-5.160197449E1,5.289162814E1
5.719220833E-2,-6.284027100E-1,1.158460999E1,-5.144453430E1,5.273649768E1
6.722820833E-2,-6.212120056E-1,1.175943756E1,-5.128352356E1,5.261815338E1
7.726320832E-2,-5.923881531E-1,1.186959839E1,-5.108866882E1,5.245274418E1
8.729820832E-2,-7.274799347E-1,1.200259399E1,-5.088092041E1,5.228249756E1
9.733420833E-2,-5.107231140E-1,1.201398468E1,-5.080757141E1,5.221116718E1
1.073692083E-1,-5.004138947E-1,1.230590820E1,-5.096023560E1,5.242739172E1
1.174052083E-1,-5.241909027E-1,1.216772461E1,-5.123799133E1,5.266554903E1
1.274402083E-1,-7.087574005E-1,1.231911469E1,-5.100851440E1,5.247981960E1
1.374762083E-1,-8.416061401E-1,1.216453552E1,-5.084864807E1,5.229024035E1
1.475112083E-1,-7.065505981E-1,1.209083557E1,-5.094592285E1,5.236577674E1
1.575472083E-1,-6.910152435E-1,1.205679321E1,-5.117213440E1,5.257785754E1
1.675822083E-1,-7.281055450E-1,1.192240906E1,-5.118519592E1,5.256042482E1
1.776172083E-1,-7.764968872E-1,1.189212036E1,-5.087281799E1,5.225006301E1
1.876532083E-1,-9.450263977E-1,1.170881653E1,-5.096159363E1,5.229793002E1
1.976882083E-1,-5.030269623E-1,1.171776581E1,-5.082151794E1,5.215731739E1
2.077242083E-1,-8.997230530E-1,1.150997162E1,-5.078890991E1,5.208456891E1
2.177592083E-1,-7.077102661E-1,1.171191406E1,-5.081156921E1,5.214868503E1
2.277942083E-1,-9.252529144E-1,1.183013916E1,-5.075897217E1,5.212755069E1
2.378302083E-1,-9.916095734E-1,1.177767944E1,-5.117431641E1,5.252149733E1
2.478652083E-1,-7.561969757E-1,1.167560577E1,-5.078352356E1,5.211389325E1
2.579012083E-1,-7.354030609E-1,1.176004028E1,-5.099238586E1,5.233605623E1
2.679362083E-1,-8.028297424E-1,1.170565033E1,-5.100076294E1,5.233301640E1
2.779722083E-1,-6.668376923E-1,1.202153778E1,-5.073895264E1,5.214789888E1
2.880072083E-1,-4.825363159E-1,1.203466034E1,-5.058193970E1,5.199613942E1
2.980422083E-1,-3.588981628E-1,1.208817291E1,-5.069161987E1,5.211423086E1
3.080782083E-1,-3.844470978E-1,1.204043579E1,-5.067384338E1,5.208606625E1
3.181132083E-1,-3.938694000E-1,1.218791962E1,-5.091297913E1,5.235295561E1
3.281492083E-1,-3.182182312E-1,1.218166351E1,-5.045419312E1,5.190491106E1
3.381842083E-1,-6.458454132E-1,1.208708954E1,-5.045144653E1,5.188316979E1
3.482202083E-1,-5.275001526E-1,1.199379730E1,-5.088739014E1,5.228437534E1
3.582552083E-1,-5.694389343E-1,1.209307098E1,-5.069403076E1,5.211958731E1
3.682912083E-1,-4.703044891E-1,1.210583496E1,-5.091601562E1,5.233749204E1
3.783262083E-1,-4.723834991E-1,1.202566528E1,-5.062940979E1,5.204014707E1
3.883612083E-1,-5.095748901E-1,1.231534576E1,-5.046296692E1,5.194649592E1
3.983972083E-1,-5.523853302E-1,1.219670868E1,-5.085189819E1,5.229703990E1
4.084322083E-1,-3.762683868E-1,1.235678101E1,-5.086708069E1,5.234779377E1
4.184682083E-1,-5.148811340E-1,1.240108490E1,-5.082211304E1,5.231576419E1
4.285032083E-1,-3.244628906E-1,1.233761597E1,-5.075352478E1,5.223257912E1
4.385392083E-1,-3.983993530E-1,1.214710236E1,-5.097851562E1,5.240725020E1
4.485742083E-1,-5.506973267E-1,1.244641113E1,-5.092654419E1,5.242832556E1
4.586092083E-1,-3.535079956E-1,1.223851013E1,-5.094395447E1,5.239458555E1
4.686452083E-1,-3.626194000E-1,1.242826843E1,-5.103211975E1,5.252495212E1
4.786802083E-1,-3.482398987E-1,1.263483429E1,-5.087661743E1,5.242318676E1
4.887162083E-1,-3.974819183E-1,1.267471313E1,-5.105688477E1,5.260809659E1
4.987512083E-1,-3.336868286E-1,1.270275879E1,-5.105317688E1,5.261081920E1
5.087872083E-1,-3.946495056E-1,1.251556396E1,-5.106715393E1,5.257993249E1
5.188222083E-1,-3.883666992E-1,1.265391541E1,-5.069178772E1,5.224872961E1
5.288572083E-1,-4.971370697E-1,1.254993439E1,-5.080863953E1,5.233799623E1
5.388932083E-1,-4.435272217E-1,1.254428101E1,-5.071606445E1,5.224629074E1
5.489282083E-1,-5.002498627E-1,1.259418488E1,-5.073799133E1,5.228008710E1
5.589642083E-1,-7.257175446E-1,1.273185730E1,-5.082276917E1,5.239828930E1
5.689992083E-1,-4.248905182E-1,1.281250763E1,-5.066506958E1,5.226174662E1
5.790352083E-1,-3.186626434E-1,1.270736694E1,-5.025036621E1,5.183317494E1
5.890702083E-1,-5.232105255E-1,1.261299133E1,-5.024839783E1,5.180987149E1
5.991052083E-1,-4.421939850E-1,1.256802368E1,-5.067462158E1,5.221176139E1
6.091412083E-1,-5.585212708E-1,1.243835449E1,-5.037382507E1,5.188975680E1
6.191762083E-1,-7.220535278E-1,1.232859039E1,-5.036895752E1,5.186084635E1
6.292122083E-1,-6.466655731E-1,1.239829254E1,-5.071318054E1,5.221075095E1
6.392472083E-1,-6.306877136E-1,1.223775482E1,-5.075593567E1,5.221422618E1
6.492832083E-1,-5.321331024E-1,1.238800049E1,-5.068630981E1,5.218091341E1
6.593182083E-1,-7.514171600E-1,1.246768188E1,-5.036569214E1,5.189133515E1
6.693532083E-1,-6.287155151E-1,1.259719086E1,-5.082638550E1,5.236798606E1
6.793892083E-1,-5.750274658E-1,1.255409241E1,-5.121926880E1,5.273850006E1
6.894242083E-1,-5.937843323E-1,1.236970520E1,-5.109315491E1,5.257254669E1
6.994602083E-1,-5.604801178E-1,1.235939789E1,-5.087614441E1,5.235886672E1
7.094952083E-1,-4.577465057E-1,1.269635010E1,-5.067538452E1,5.224367363E1
